video_id,product,brand,attribute,attribute_type,context
https://www.tiktok.com/@aliciarev/video/7280258198311947553,,,my night skincare,NGRAM_ATTRIBUTE,How much does my night skincare routine cost?
https://www.tiktok.com/@aliciarev/video/7280258198311947553,,,night skincare,NGRAM_ATTRIBUTE,How much does my night skincare routine cost?
https://www.tiktok.com/@aliciarev/video/7280258198311947553,,,night skincare routine,NGRAM_ATTRIBUTE,How much does my night skincare routine cost?
https://www.tiktok.com/@aliciarev/video/7280258198311947553,,,skincare routine,NGRAM_ATTRIBUTE,How much does my night skincare routine cost?
https://www.tiktok.com/@aliciarev/video/7280258198311947553,,,skincare routine cost,NGRAM_ATTRIBUTE,How much does my night skincare routine cost?
https://www.tiktok.com/@aliciarev/video/7280258198311947553,,,Calming,SOOTHING, I wash my face with the Rose Calming Cleanser from Transparent Lab
https://www.tiktok.com/@carmensantaellaar/video/7431662463038344481,Laguna Bronzing Cream,NARS,Glow,GLOSSY_FINISH," by Rode, €39 Revitalize Skin Glow by Shiseido, €36.40 And the 2"
https://www.tiktok.com/@carmensantaellaar/video/7431662463038344481,Laguna Bronzing Cream,NARS,39 Revitalize Skin,NGRAM_ATTRIBUTE,"Glacing Milk by Rode, €39 Revitalize Skin Glow by Shiseido, €36.40 And "
https://www.tiktok.com/@carmensantaellaar/video/7431662463038344481,Laguna Bronzing Cream,NARS,Revitalize Skin,NGRAM_ATTRIBUTE,"Glacing Milk by Rode, €39 Revitalize Skin Glow by Shiseido, €36.40 And "
https://www.tiktok.com/@carmensantaellaar/video/7431662463038344481,Laguna Bronzing Cream,NARS,Revitalize Skin Glow,NGRAM_ATTRIBUTE,"Glacing Milk by Rode, €39 Revitalize Skin Glow by Shiseido, €36.40 And the 2"
https://www.tiktok.com/@carmensantaellaar/video/7431662463038344481,Laguna Bronzing Cream,NARS,Skin Glow,NGRAM_ATTRIBUTE," Milk by Rode, €39 Revitalize Skin Glow by Shiseido, €36.40 And the 2"
https://www.tiktok.com/@carmensantaellaar/video/7431662463038344481,Laguna Bronzing Cream,NARS,Skin Glow by,NGRAM_ATTRIBUTE," Milk by Rode, €39 Revitalize Skin Glow by Shiseido, €36.40 And the 259 "
https://www.tiktok.com/@carmensantaellaar/video/7431662463038344481,Laguna Bronzing Cream,NARS,Glow by,NGRAM_ATTRIBUTE," by Rode, €39 Revitalize Skin Glow by Shiseido, €36.40 And the 259 "
https://www.tiktok.com/@carmensantaellaar/video/7431662463038344481,Laguna Bronzing Cream,NARS,Glow by Shiseido,NGRAM_ATTRIBUTE," by Rode, €39 Revitalize Skin Glow by Shiseido, €36.40 And the 259 brush by "
https://www.tiktok.com/@carmensantaellaar/video/7431662463038344481,#16 Blush Brush,NARS,Glow,GLOSSY_FINISH," by Rode, €39 Revitalize Skin Glow by Shiseido, €36.40 And the 2"
https://www.tiktok.com/@carmensantaellaar/video/7431662463038344481,#16 Blush Brush,NARS,39 Revitalize Skin,NGRAM_ATTRIBUTE,"Glacing Milk by Rode, €39 Revitalize Skin Glow by Shiseido, €36.40 And "
https://www.tiktok.com/@carmensantaellaar/video/7431662463038344481,#16 Blush Brush,NARS,Revitalize Skin,NGRAM_ATTRIBUTE,"Glacing Milk by Rode, €39 Revitalize Skin Glow by Shiseido, €36.40 And "
https://www.tiktok.com/@carmensantaellaar/video/7431662463038344481,#16 Blush Brush,NARS,Revitalize Skin Glow,NGRAM_ATTRIBUTE,"Glacing Milk by Rode, €39 Revitalize Skin Glow by Shiseido, €36.40 And the 2"
https://www.tiktok.com/@carmensantaellaar/video/7431662463038344481,#16 Blush Brush,NARS,Skin Glow,NGRAM_ATTRIBUTE," Milk by Rode, €39 Revitalize Skin Glow by Shiseido, €36.40 And the 2"
https://www.tiktok.com/@carmensantaellaar/video/7431662463038344481,#16 Blush Brush,NARS,Skin Glow by,NGRAM_ATTRIBUTE," Milk by Rode, €39 Revitalize Skin Glow by Shiseido, €36.40 And the 259 "
https://www.tiktok.com/@carmensantaellaar/video/7431662463038344481,#16 Blush Brush,NARS,Glow by,NGRAM_ATTRIBUTE," by Rode, €39 Revitalize Skin Glow by Shiseido, €36.40 And the 259 "
