video_id,detection_type,method,score,sentence,sentiment,sentiment_score,product,product_id,brand,extracted_entities_str,categories_str
https://www.tiktok.com/@aliciarev/video/7280258198311947553,product_brand_category,semantic_similarity,14.618997573852539,"It's Eve Pound, the blue one from Drunk Elephant.",5 stars,0.4025688171386719,Lippe Balm (Drunk Elephant),537.0,Drunk Elephant,"[{'text': 'Eve Pound', 'start': 5, 'end': 14, 'type': 'PERSON'}, {'text': 'Drunk Elephant', 'start': 34, 'end': 48, 'type': 'ORG'}]","['Skincare', 'Lip Balms & Treatments']"
https://www.tiktok.com/@aliciarev/video/7280258198311947553,product_brand_category,semantic_similarity,14.321430206298828,"It's Eve Pound, the blue one from Drunk Elephant.",5 stars,0.4025688171386719,E-Rase™ Milki Micellar Water (Drunk Elephant),1613.0,Drunk Elephant,"[{'text': 'Eve Pound', 'start': 5, 'end': 14, 'type': 'PERSON'}, {'text': 'Drunk Elephant', 'start': 34, 'end': 48, 'type': 'ORG'}]","['Skincare', 'Cleansers', 'Makeup Removers']"
https://www.tiktok.com/@aliciarev/video/7280258198311947553,product_brand_category,semantic_similarity,13.931279182434082,"And finally, for the lips, the Laneige lip sleeping mask, which I love.",5 stars,0.7046281695365906,Midnight Minis Lip Set (LANEIGE),494.0,LANEIGE,"[{'text': 'Laneige', 'start': 31, 'end': 38, 'type': 'PERSON'}]","['Skincare', 'Value & Gift Sets']"
https://www.tiktok.com/@aliciarev/video/7280258198311947553,product_brand_category,semantic_similarity,13.118449211120605,"It's Eve Pound, the blue one from Drunk Elephant.",5 stars,0.4025688171386719,Slaai™  Makeup-Melting Butter Cleanser (Drunk Elephant),1490.0,Drunk Elephant,"[{'text': 'Eve Pound', 'start': 5, 'end': 14, 'type': 'PERSON'}, {'text': 'Drunk Elephant', 'start': 34, 'end': 48, 'type': 'ORG'}]","['Skincare', 'Cleansers', 'Face Wash & Cleansers']"
https://www.tiktok.com/@aliciarev/video/7280258198311947553,product_brand_category,semantic_similarity,11.626994132995605,"And finally, for the lips, the Laneige lip sleeping mask, which I love.",5 stars,0.7046281695365906,Lip Sleeping Mask Intense Hydration with Vitamin C (LANEIGE),75.0,LANEIGE,"[{'text': 'Laneige', 'start': 31, 'end': 38, 'type': 'PERSON'}]","['Skincare', 'Lip Balms & Treatments']"
https://www.tiktok.com/@aliciarev/video/7280258198311947553,product_brand_category,semantic_similarity,11.4822998046875,"It's Eve Pound, the blue one from Drunk Elephant.",5 stars,0.4025688171386719,O-Bloos™ Rosi Glow Drops with Vitamin F (Drunk Elephant),709.0,Drunk Elephant,"[{'text': 'Eve Pound', 'start': 5, 'end': 14, 'type': 'PERSON'}, {'text': 'Drunk Elephant', 'start': 34, 'end': 48, 'type': 'ORG'}]","['Skincare', 'Treatments', 'Face Serums']"
https://www.tiktok.com/@aliciarev/video/7280258198311947553,product_brand_category,semantic_similarity,11.373045921325684,"And finally, for the lips, the Laneige lip sleeping mask, which I love.",5 stars,0.7046281695365906,Divine Lip Duo (LANEIGE),835.0,LANEIGE,"[{'text': 'Laneige', 'start': 31, 'end': 38, 'type': 'PERSON'}]","['Skincare', 'Value & Gift Sets']"
https://www.tiktok.com/@aliciarev/video/7280258198311947553,product_brand_category,semantic_similarity,11.22762680053711,"It's Eve Pound, the blue one from Drunk Elephant.",5 stars,0.4025688171386719,B-Goldi™ Bright Illuminating Drops with 5% Niacinamide (Drunk Elephant),813.0,Drunk Elephant,"[{'text': 'Eve Pound', 'start': 5, 'end': 14, 'type': 'PERSON'}, {'text': 'Drunk Elephant', 'start': 34, 'end': 48, 'type': 'ORG'}]","['Skincare', 'Treatments', 'Face Serums']"
https://www.tiktok.com/@aliciarev/video/7280258198311947553,product_brand_category,semantic_similarity,10.844185829162598,What I do is add a few drops of Isle of Paradise.,4 stars,0.4690132141113281,Self Tanning Natural Glow Face Drops (Isle of Paradise),603.0,Isle of Paradise,"[{'text': 'Isle of Paradise', 'start': 32, 'end': 48, 'type': 'LOC'}]","['Skincare', 'Self Tanners', 'For Face']"
https://www.tiktok.com/@aliciarev/video/7280258198311947553,product_brand_category,semantic_similarity,10.488296508789062,"It's Eve Pound, the blue one from Drunk Elephant.",5 stars,0.4025688171386719,D-Bronzi™ Bronzing Drops with Peptides (Drunk Elephant),325.0,Drunk Elephant,"[{'text': 'Eve Pound', 'start': 5, 'end': 14, 'type': 'PERSON'}, {'text': 'Drunk Elephant', 'start': 34, 'end': 48, 'type': 'ORG'}]","['Skincare', 'Treatments', 'Face Serums']"
